,appid,name,developer,publisher,price,year,duenos_promedio,rating_neto,rating_perc,Action,Free to Play,Strategy,Adventure,Indie,RPG,Casual,Simulation,Racing,Violent,Massively Multiplayer,Nudity,Sports,Early Access,Gore,Sexual Content,Target
11707,550810,Abduction Bit,SEEP,SEEP,857,2016,10000.0,56,0.9375,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11708,550820,Kitten Cannon,Chris Gallello;Sasha Alexandra,Mr. Paws,0,2016,10000.0,15,0.7586206896551719,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11709,550840,Fresh Body,LOVIGAME,LOVIGAME,7584,2016,35000.0,701,0.8379942140790742,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0
11710,550870,Tricky Trail RC,Mika Spin Games,Mika Spin Games,4329,2017,10000.0,1,0.666666666666667,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
11711,550890,Repulsanoid,NedoStudio,NedoStudio,857,2017,10000.0,6,0.7142857142857142,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11712,550900,Metin2,WEBZEN Inc.,Gameforge 4D GmbH,0,2017,1500000.0,1785,0.622815467180405,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
11713,550930,Rocket Craze 3D,Rixment,Rixment,3136,2016,10000.0,6,0.875,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11714,550990,"Viktor, a Steampunk Adventure",Studio spektar,Studio spektar,7584,2017,10000.0,42,0.956521739130435,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
11715,551050,Die With Glory — Point and Click Adventure Game,Castle,Veslo Games,5197,2017,10000.0,18,0.7142857142857142,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11716,551060,Creekside Creep Invasion,Ouch Giver Games,Ouch Giver Games,7584,2017,10000.0,10,0.916666666666667,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11717,551080,Rescue your chickens,Mihai Morosanu,Mihai Morosanu,857,2016,35000.0,15,0.6190476190476191,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11718,551100,Oblivion's Edge,Odd Emu,MMOVentures,1834,2016,10000.0,1,0.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11719,551110,Wayout,Konstructors Entertainment,Konstructors Entertainment;GrabTheGames,781,2016,75000.0,488,0.8961038961038961,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11720,551150,Labyrinths of the World: Shattered Soul Collector's Edition,Domini Games,Big Fish Games,7584,2017,10000.0,4,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11721,551160,Spirit of Revenge: Cursed Castle Collector's Edition,Vendel Games,Big Fish Games,7584,2016,10000.0,2,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11722,551170,Onmyoji,NetEase Games,NetEase Games,0,2018,150000.0,294,0.6814814814814809,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11723,551190,123 Slaughter Me Street 2,Nate Sanders;John Kolbek,"Impulse Game Studios, LLC.",5631,2016,35000.0,68,0.84,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11724,551320,Lord Darydikilkil,GaelDK;Fabien Spiess (Sogaki);Antoine Rigitano;Serge Sentis (Aerosteak);Nicolas Billon (V3ry),Infiniverse,1725,2016,10000.0,5,0.6923076923076921,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0
11725,551360,Myths of the World: Chinese Healer Collector's Edition,Eipix Entertainment,Big Fish Games,7584,2016,10000.0,1,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11726,551380,Danse Macabre: The Last Adagio Collector's Edition,Eipix Entertainment,Big Fish Games,7584,2016,10000.0,4,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11727,551440,Chiaro and the Elixir of Life,Martov Company,Martov Company,25812,2018,10000.0,25,0.878787878787879,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11728,551450,Furious Angels,MorfeoDev,MorfeoDev,4329,2017,35000.0,165,0.860262008733624,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11729,551500,Star Fight,7K Games,7K Games,3027,2016,10000.0,2,0.6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
11730,551520,Last Days of Spring 2,Sapphire Dragon Productions,Sapphire Dragon Productions,5414,2016,10000.0,31,0.816326530612245,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
11731,551550,ASSASSINATION BOX,VitaliZelenyuk,VitaliZelenyuk,5197,2018,350000.0,-33,0.34285714285714297,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11732,551570,Sarab: Duji Tower,Abdulla Hassan Al-Farsi,Abdulla Hassan Al-Farsi,1725,2016,10000.0,18,0.95,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
11733,551580,Goblin and Coins,Nikola Bulj,Nikola Bulj,1790,2016,10000.0,45,0.8947368421052628,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11734,551610,Virtual Army: Revolution,Haptic Pulse,Haptic Pulse,10742,2019,10000.0,-2,0.45454545454545503,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
11735,551630,Navalia,Luotsi Entertainment,Digital Tribe,10839,2017,10000.0,2,0.545454545454545,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11736,551650,The Bedtime Story,Brandon Serowski,Brandon Serowski,2159,2017,10000.0,8,0.75,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
11737,551670,TWIN BROS,NedoStudio,NedoStudio,857,2016,10000.0,6,0.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11738,551680,Bad birthday,Strong Cube,Strong Cube,4329,2016,10000.0,1,0.515151515151515,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
