"","appid","name","developer","publisher","price","year","duenos_promedio","rating_neto","rating_perc","Action","Free to Play","Strategy","Adventure","Indie","RPG","Casual","Simulation","Racing","Violent","Massively Multiplayer","Nudity","Sports","Early Access","Gore","Sexual Content"
"23166",889210,"Two Wars - Part 1","Triority","Triority",0,2018,10000,2,0.666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"23167",889220,"A Stickman Reality","ImproVive","ImproVive",0,2018,35000,21,0.888888888888889,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23168",889240,"Loot Box Simulator","Clickbait Studios","Clickbait Studios",0,2018,10000,21,0.862068965517241,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"23169",889260,"Bonkies","Studio Gauntlet","Studio Gauntlet",11924,2018,10000,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"23170",889290,"Echoes World","Maximus Ludos Studios","Maximus Ludos Studios",857,2018,10000,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"23171",889320,"The Plant","Aventy's team","Aventy's team",0,2018,10000,23,0.896551724137931,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"23172",889400,"StickyBots","Potion Games","Potion Games",6716,2018,10000,20,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"23173",889450,"Centifeed","Ghost Lord Games","Ghost Lord Games",1834,2018,10000,6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23174",889460,"Mirror Stage","MGstudio","MGstudio",857,2018,10000,5,0.619047619047619,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"23175",889470,"Another world: Truck driver","Another world","Another world",7801,2018,10000,-1,0.4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"23176",889480,"Virtual Virtual Reality","Tender Claws","Tender Claws",12358,2018,10000,235,0.96078431372549,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"23177",889510,"SENRAN KAGURA Burst Re:Newal","Tamsoft","XSEED Games;Marvelous USA, Inc.;Marvelous",37964,2019,10000,254,0.854748603351955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23178",889520,"Empire","Clecota Games","Clecota Games",4329,2018,10000,9,0.909090909090909,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"23179",889530,"Sharp","TiredOfCoding;PerfectHumanInterface"," ",0,2018,10000,6,0.875,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"23180",889600,"The Caligula Effect: Overdose","FURYU Corporation;Engine Software BV","NIS America, Inc.",54239,2019,10000,74,0.87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"23181",889720,"Crypto Crisis","Armoured Beans","Armoured Beans",6716,2019,10000,6,0.666666666666667,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"23182",889730,"Downtown Mafia: Gang Wars","DYNAMICNEXT","DYNAMICNEXT",0,2018,35000,19,0.63768115942029,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
"23183",889740,"The Oni Sellsword","Eric Baskin","Eric Baskin",0,2018,10000,41,0.936170212765957,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"23184",889760,"Monster Adventurer","yang1zhi","yang1zhi",5197,2018,10000,-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"23185",889770,"UnHolY DisAsTeR","UnholY CreatioN","UnholY CreatioN",11165,2018,10000,79,0.876190476190476,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"23186",889790,"Incandescent 2","Stephen Crabb","Stephen Crabb",1834,2019,10000,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"23187",889850,"Save President From Rebels","Tero Lunkka","Tero Lunkka",857,2018,10000,1,0.555555555555556,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23188",889970,"My Farm","Bip Media","Plug In Digital",7801,2018,10000,-1,0.333333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"23189",889990,"RGBCELLS","SC.Wu","SC.Wu",857,2018,10000,-1,0.333333333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
